home_team,away_team,home_win_prob,draw_prob,away_win_prob,over_2_5_prob,btts_prob,home_cs_prob,away_cs_prob,home_xg,away_xg
Arsenal,Leeds,0.5778279528568636,0.23680401173819737,0.18536803540493896,0.49804435956714,0.49874074430194465,0.4031301235226742,0.17029271796629947,1.77,0.91
Aston Villa,Brentford,0.34669154406199726,0.23914377535372208,0.4141646805842807,0.6099862920321641,0.6330772966769476,0.18960026101425786,0.22145983603706476,1.51,1.66
Chelsea,Bournemouth,0.4465650390317193,0.22684545565872735,0.3265895053095532,0.6622270548934663,0.6705773418676806,0.20763743862262746,0.1557852246161529,1.86,1.57
Ipswich Town,Fulham,0.19835911005533463,0.23065468340836565,0.5709862065362995,0.538479723715794,0.5364894259662416,0.15821536288181545,0.366197092174535,1.0,1.84
Sunderland,Brighton,0.3009945286532922,0.2724017806424027,0.42660369070430504,0.45869616039787153,0.5123807697340805,0.24902941441372528,0.3232003892028682,1.13,1.39
Manchester United,Tottenham Hotspur,0.518043103667651,0.23129209867703293,0.250664797655316,0.5927085662740234,0.600686635500039,0.2904086484652704,0.15675640346499337,1.85,1.24
Crystal Palace,Nottingham Forest,0.34743520130526356,0.2683762358315562,0.38418856286318026,0.4844775158591286,0.5370793986449883,0.2591723839612596,0.28004765015922484,1.27,1.35
Hull City,Everton,0.16316374697990543,0.2110149063629441,0.6258213466571506,0.5661727266180808,0.5330371179618463,0.13193998064574436,0.3889646858025152,0.94,2.03
Liverpool,Manchester City,0.22502932314507532,0.2215387903889491,0.5534318864659755,0.609627637995769,0.6031220214708429,0.13934600482638304,0.30172469680773306,1.2,1.97
Coventry City,Newcastle United,0.06591030778296322,0.19981808551425123,0.7342716067027856,0.398321434410815,0.290812671203662,0.15356808744187855,0.6625739291610879,0.41,1.87
Everton,Chelsea,0.3697315224671102,0.23900749523766907,0.3912609822952207,0.6139146881086555,0.6371912017501882,0.19802264492559607,0.20810411126140566,1.57,1.62
