gw,home_team,away_team,home_goals,away_goals,pred_home_xg,pred_away_xg,home_win_prob,draw_prob,away_win_prob,actual_outcome,predicted_outcome,outcome_correct,rps,naive_rps,brier,actual_over_2_5,pred_over_prob,ou_correct,pred_top_score,actual_score,correct_score,xg_mae_home,xg_mae_away
28,Wolverhampton Wanderers,Aston Villa,2,0,0.852,1.732,0.1883,0.2741,0.5376,home_win,away_win,False,0.4739,0.2778,0.6589,False,0.4397,True,0-0,2-0,False,0.6580395505760095,0.4215187091516721
28,Bournemouth,Sunderland,1,1,1.631,0.993,0.486,0.2816,0.2324,draw,home_win,False,0.1451,0.1111,0.2362,False,0.4485,True,0-0,1-1,False,0.18923258318090364,0.08677207672944254
28,Burnley,Brentford,3,4,1.018,2.044,0.1939,0.2395,0.5667,away_win,away_win,True,0.1127,0.2778,0.0376,True,0.534,True,0-0,3-4,False,0.19753903426954322,0.4059272652628909
28,Liverpool,West Ham,5,2,2.575,1.168,0.6277,0.1967,0.1756,home_win,home_win,True,0.0847,0.2778,0.1386,True,0.6498,True,2-0,5-2,False,0.47536057251972164,0.18181607048975357
28,Newcastle United,Everton,2,3,1.527,1.057,0.4496,0.2898,0.2606,away_win,home_win,False,0.3745,0.2778,0.2021,True,0.4404,False,0-0,2-3,False,0.4066922679141587,1.3527333777873967
28,Leeds,Manchester City,0,1,1.241,2.987,0.1568,0.1707,0.6724,away_win,away_win,True,0.0659,0.2778,0.0246,False,0.7174,False,0-2,0-1,False,0.13944646691964224,0.5171442110526039
28,Brighton,Nottingham Forest,2,1,1.578,1.098,0.4535,0.2827,0.2638,home_win,home_win,True,0.1841,0.2778,0.2986,True,0.4594,False,0-0,2-1,False,0.37776562298728145,0.26829281254215187
28,Fulham,Tottenham Hotspur,2,1,1.672,1.645,0.3805,0.2485,0.371,home_win,home_win,True,0.2607,0.2778,0.3838,True,0.582,True,1-1,2-1,False,0.6482111867864742,0.6951628368537497
28,Manchester United,Crystal Palace,2,1,1.64,1.314,0.4281,0.2671,0.3048,home_win,home_win,True,0.21,0.2778,0.327,True,0.5147,True,0-0,2-1,False,0.7099311628525333,0.9336634674051473
28,Arsenal,Chelsea,2,1,1.892,1.21,0.4995,0.2503,0.2502,home_win,home_win,True,0.1565,0.2778,0.2505,True,0.5424,True,0-0,2-1,False,0.17197993958546687,0.13991287653717266
29,Everton,Burnley,2,0,1.649,0.871,0.5153,0.2834,0.2013,home_win,home_win,True,0.1377,0.2778,0.235,False,0.4269,True,0-0,2-0,False,0.48937382473024726,0.11136487202956391
29,Leeds,Sunderland,0,1,1.754,1.18,0.4768,0.263,0.2602,away_win,home_win,False,0.3873,0.2778,0.2273,False,0.5105,False,0-0,0-1,False,0.8638343479827336,0.3397417465787481
29,Bournemouth,Brentford,0,0,1.63,1.943,0.3293,0.234,0.4366,draw,away_win,False,0.1496,0.1111,0.1085,False,0.6253,False,1-1,0-0,False,0.6902395203182297,1.2734739026127504
29,Wolverhampton Wanderers,Liverpool,2,1,0.995,2.139,0.1805,0.2307,0.5888,home_win,away_win,False,0.5091,0.2778,0.6716,True,0.5471,True,0-1,2-1,False,0.35489703538879414,0.031141786690602746
29,Manchester City,Nottingham Forest,2,2,2.418,0.695,0.6982,0.1979,0.1039,draw,home_win,False,0.2491,0.1111,0.4875,True,0.5409,True,2-0,2-2,False,0.31245875040431814,0.5450423151821233
29,Fulham,West Ham,0,1,2.054,1.521,0.4754,0.2307,0.294,away_win,home_win,False,0.3622,0.2778,0.226,False,0.6254,False,1-1,0-1,False,1.423992126343244,0.021316762622465513
29,Aston Villa,Chelsea,1,4,1.48,1.451,0.37,0.2712,0.3588,away_win,home_win,False,0.274,0.2778,0.1369,True,0.5103,True,0-0,1-4,False,0.41000749192502384,1.9394449823853053
29,Brighton,Arsenal,0,1,1.085,1.876,0.2252,0.2544,0.5204,away_win,away_win,True,0.1404,0.2778,0.0507,False,0.5154,False,0-0,0-1,False,0.1647634831643786,1.3661646016872908
29,Newcastle United,Manchester United,2,1,1.765,1.496,0.4234,0.25,0.3266,home_win,home_win,True,0.2196,0.2778,0.3325,True,0.5718,True,0-0,2-1,False,0.2050419991799639,0.3144953094274998
29,Tottenham Hotspur,Crystal Palace,1,3,1.566,1.409,0.3959,0.2677,0.3364,away_win,home_win,False,0.2985,0.2778,0.1567,True,0.5189,True,0-0,1-3,False,0.2664471971418647,0.5111484168182372
30,Burnley,Bournemouth,0,0,1.235,1.794,0.2673,0.2577,0.475,draw,away_win,False,0.1485,0.1111,0.0715,False,0.5289,False,0-0,0-0,True,0.4448515361715244,0.5756941110346763
30,Sunderland,Brighton,0,1,1.011,1.286,0.2818,0.3189,0.3993,away_win,away_win,True,0.2201,0.2778,0.0794,False,0.3801,True,0-0,0-1,False,0.3509965756205272,0.15606322064573264
30,Arsenal,Everton,2,0,1.772,0.813,0.5545,0.2699,0.1755,home_win,home_win,True,0.1146,0.2778,0.1984,False,0.4398,True,0-0,2-0,False,0.13847424562089894,0.3665640007717288
30,Chelsea,Newcastle United,0,1,1.805,1.323,0.4613,0.2539,0.2849,away_win,home_win,False,0.3621,0.2778,0.2128,False,0.5476,False,0-0,0-1,False,0.07541928108364693,0.29337291818648414
30,West Ham,Manchester City,1,1,0.919,2.703,0.1248,0.1813,0.6939,draw,away_win,False,0.2486,0.1111,0.0156,False,0.6289,False,0-2,1-1,False,0.4288003161691043,0.7528785820840873
30,Manchester United,Aston Villa,3,1,1.534,1.429,0.3855,0.2688,0.3458,home_win,home_win,True,0.2486,0.2778,0.3776,True,0.5167,True,0-0,3-1,False,0.145661193304075,0.21930361493425687
30,Nottingham Forest,Fulham,0,0,1.298,1.325,0.348,0.2932,0.3589,draw,away_win,False,0.1249,0.1111,0.1211,False,0.4486,True,0-0,0-0,True,0.4775056172512181,0.3945777069768691
30,Crystal Palace,Leeds,0,0,2.019,1.474,0.4768,0.2341,0.2891,draw,home_win,False,0.1554,0.1111,0.2273,False,0.6118,False,1-1,0-0,False,1.4886789443309014,0.3344400273881656
30,Liverpool,Tottenham Hotspur,1,1,2.349,1.327,0.5621,0.2137,0.2243,draw,home_win,False,0.1831,0.1111,0.3159,False,0.6405,False,1-1,1-1,True,1.0491120616729257,0.16677101758042645
30,Brentford,Wolverhampton Wanderers,2,2,2.139,0.98,0.5917,0.2306,0.1776,draw,home_win,False,0.1909,0.1111,0.3501,True,0.5444,True,1-0,2-2,False,0.661122634413184,0.8195822822966681
31,Wolverhampton Wanderers,Arsenal,2,2,0.695,2.174,0.1187,0.2229,0.6584,draw,away_win,False,0.2238,0.1111,0.0141,True,0.4955,False,0-1,2-2,False,0.5253015096731587,0.16365978379356072
31,Bournemouth,Manchester United,2,2,1.589,1.81,0.3394,0.2433,0.4173,draw,away_win,False,0.1447,0.1111,0.1152,True,0.5963,True,1-1,2-2,False,0.18097129683994662,0.06039156429115744
31,Brighton,Liverpool,2,1,1.43,1.972,0.2861,0.2385,0.4755,home_win,away_win,False,0.3679,0.2778,0.5097,True,0.5964,True,1-1,2-1,False,1.999632581520743,1.0119925692552008
31,Fulham,Burnley,3,1,1.929,1.073,0.5334,0.2497,0.2169,home_win,home_win,True,0.1324,0.2778,0.2177,True,0.5231,True,0-0,3-1,False,1.5506554119632543,0.8573263396333552
31,Everton,Chelsea,3,0,1.184,1.493,0.2954,0.2864,0.4182,home_win,away_win,False,0.3357,0.2778,0.4964,True,0.4596,False,0-0,3-0,False,0.266288408319334,0.14290129371919735
31,Leeds,Brentford,0,0,1.723,2.307,0.3011,0.2117,0.4872,draw,away_win,False,0.164,0.1111,0.0907,False,0.6942,False,1-1,0-0,False,1.3025012406430554,2.007029316644206
31,Newcastle United,Sunderland,1,2,1.853,0.778,0.5794,0.2605,0.1601,away_win,home_win,False,0.5206,0.2778,0.3357,True,0.4489,False,0-0,1-2,False,0.5826736727834423,1.8923689436731264
31,Tottenham Hotspur,Nottingham Forest,0,3,1.535,1.251,0.4158,0.2789,0.3053,away_win,home_win,False,0.3277,0.2778,0.1728,True,0.4817,False,0-0,0-3,False,0.08537002911549707,0.2888201206354031
31,Aston Villa,West Ham,2,0,2.198,1.064,0.5856,0.2256,0.1888,home_win,home_win,True,0.1037,0.2778,0.1717,False,0.5704,False,1-0,2-0,False,0.2921573090229641,0.3039450370277539
32,West Ham,Wolverhampton Wanderers,4,0,1.634,1.251,0.4381,0.2705,0.2914,home_win,home_win,True,0.2003,0.2778,0.3158,True,0.5013,True,0-0,4-0,False,0.9055157748576641,0.6806503868476196
32,Arsenal,Bournemouth,1,2,2.348,1.0,0.624,0.2122,0.1638,away_win,home_win,False,0.5443,0.2778,0.3894,True,0.5849,True,2-0,1-2,False,0.8120707731913472,0.3900414480551333
32,Brentford,Everton,2,2,1.608,1.204,0.4406,0.275,0.2845,draw,home_win,False,0.1375,0.1111,0.1941,True,0.4869,False,0-0,2-2,False,0.6520894369185117,0.36555600599790905
32,Burnley,Brighton,0,2,1.046,1.606,0.2477,0.2821,0.4701,away_win,away_win,True,0.1711,0.2778,0.0614,False,0.4543,True,0-0,0-2,False,0.23557970715955068,0.5360217137281171
32,Liverpool,Fulham,2,0,2.242,1.291,0.5502,0.2215,0.2282,home_win,home_win,True,0.1272,0.2778,0.2023,False,0.6176,False,1-1,2-0,False,0.23214786830168865,0.12930173942379497
32,Nottingham Forest,Aston Villa,1,1,1.011,1.346,0.2732,0.3122,0.4146,draw,away_win,False,0.1233,0.1111,0.0747,False,0.3928,True,0-0,1-1,False,0.16073775677446178,0.014196935919475573
32,Sunderland,Tottenham Hotspur,1,0,1.239,1.374,0.326,0.2934,0.3806,home_win,away_win,False,0.2995,0.2778,0.4542,False,0.4467,True,0-0,1-0,False,0.5412208736959416,0.354286296772524
32,Crystal Palace,Newcastle United,2,1,1.239,1.523,0.3043,0.2806,0.4152,home_win,away_win,False,0.3282,0.2778,0.484,True,0.477,False,0-0,2-1,False,1.9006249311740413,0.25293862645001375
32,Chelsea,Manchester City,0,3,1.227,1.914,0.2513,0.248,0.5008,away_win,away_win,True,0.1562,0.2778,0.0631,True,0.5497,True,0-0,0-3,False,0.007402675569445405,0.4956050672989494
32,Manchester United,Leeds,1,2,2.145,1.323,0.5269,0.2283,0.2448,away_win,home_win,False,0.424,0.2778,0.2776,True,0.6071,True,1-1,1-2,False,0.7747758318775659,1.6265579892132414
