round_number,date,home_team,away_team,result,id,isResult,home_goals,away_goals,home_xG,away_xG
30,02/04/2025 19:45,Bournemouth,Ipswich,1 - 2,26896,True,1.0,2.0,2.0,1.41
30,02/04/2025 19:45,Brighton,Aston Villa,0 - 3,26893,True,0.0,3.0,0.56,1.21
30,02/04/2025 19:45,Man City,Leicester,2 - 0,26898,True,2.0,0.0,2.07,0.1
30,02/04/2025 19:45,Newcastle,Brentford,2 - 1,26899,True,2.0,1.0,2.27,1.53
30,02/04/2025 19:45,Southampton,Crystal Palace,1 - 1,26900,True,1.0,1.0,0.69,0.94
30,02/04/2025 20:00,Liverpool,Everton,1 - 0,26901,True,1.0,0.0,1.3,0.82
30,03/04/2025 20:00,Chelsea,Spurs,1 - 0,26897,True,1.0,0.0,1.3,1.4
31,05/04/2025 12:30,Everton,Arsenal,1 - 1,26905,True,1.0,1.0,1.23,1.4
31,05/04/2025 15:00,Crystal Palace,Brighton,2 - 1,26904,True,2.0,1.0,0.44,1.27
31,05/04/2025 15:00,Ipswich,Wolves,1 - 2,26907,True,1.0,2.0,0.87,2.81
31,05/04/2025 15:00,West Ham,Bournemouth,2 - 2,26911,True,2.0,2.0,0.91,1.95
31,05/04/2025 17:30,Aston Villa,Nottingham Forest,2 - 1,26902,True,2.0,1.0,2.63,0.97
31,06/04/2025 14:00,Brentford,Chelsea,0 - 0,26903,True,0.0,0.0,1.36,1.48
31,06/04/2025 14:00,Fulham,Liverpool,3 - 2,26906,True,3.0,2.0,1.73,1.41
31,06/04/2025 14:00,Spurs,Southampton,3 - 1,26910,True,3.0,1.0,2.65,0.78
31,06/04/2025 16:30,Man Utd,Man City,0 - 0,26909,True,0.0,0.0,1.23,0.69
31,07/04/2025 20:00,Leicester,Newcastle,,26908,True,0.0,3.0,0.35,3.44
32,12/04/2025 12:30,Man City,Crystal Palace,,26917,False,,,,
32,12/04/2025 15:00,Brighton,Leicester,,26914,False,,,,
32,12/04/2025 15:00,Nottingham Forest,Everton,,26920,False,,,,
32,12/04/2025 15:00,Southampton,Aston Villa,,26921,False,,,,
32,12/04/2025 17:30,Arsenal,Brentford,,26913,False,,,,
32,13/04/2025 14:00,Chelsea,Ipswich,,26915,False,,,,
32,13/04/2025 14:00,Liverpool,West Ham,,26916,False,,,,
32,13/04/2025 14:00,Wolves,Spurs,,26919,False,,,,
32,13/04/2025 16:30,Newcastle,Man Utd,,26918,False,,,,
32,14/04/2025 20:00,Bournemouth,Fulham,,26912,False,,,,
33,19/04/2025 15:00,Brentford,Brighton,,26923,False,,,,
33,19/04/2025 15:00,Crystal Palace,Bournemouth,,26924,False,,,,
33,19/04/2025 15:00,Everton,Man City,,26925,False,,,,
33,19/04/2025 15:00,West Ham,Southampton,,26931,False,,,,
33,19/04/2025 17:30,Aston Villa,Newcastle,,26922,False,,,,
33,20/04/2025 14:00,Fulham,Chelsea,,26926,False,,,,
33,20/04/2025 14:00,Ipswich,Arsenal,,26927,False,,,,
33,20/04/2025 14:00,Man Utd,Wolves,,26929,False,,,,
33,20/04/2025 16:30,Leicester,Liverpool,,26928,False,,,,
33,21/04/2025 20:00,Spurs,Nottingham Forest,,26930,False,,,,
34,22/04/2025 20:00,Man City,Aston Villa,,26937,False,,,,
34,23/04/2025 20:00,Arsenal,Crystal Palace,,26933,False,,,,
34,26/04/2025 12:30,Chelsea,Everton,,26935,False,,,,
34,26/04/2025 15:00,Brighton,West Ham,,26934,False,,,,
34,26/04/2025 15:00,Newcastle,Ipswich,,26938,False,,,,
34,26/04/2025 15:00,Southampton,Fulham,,26940,False,,,,
34,26/04/2025 15:00,Wolves,Leicester,,26941,False,,,,
34,27/04/2025 14:00,Bournemouth,Man Utd,,26932,False,,,,
34,27/04/2025 16:30,Liverpool,Spurs,,26936,False,,,,
34,01/05/2025 19:30,Nottingham Forest,Brentford,,26939,False,,,,
35,02/05/2025 20:00,Man City,Wolves,,26942,False,,,,
35,03/05/2025 12:30,Aston Villa,Fulham,,26946,False,,,,
35,03/05/2025 15:00,Everton,Ipswich,,26950,False,,,,
35,03/05/2025 15:00,Leicester,Southampton,,26951,False,,,,
35,03/05/2025 15:00,West Ham,Spurs,,26943,False,,,,
35,03/05/2025 17:30,Arsenal,Bournemouth,,26945,False,,,,
35,04/05/2025 14:00,Brentford,Man Utd,,26947,False,,,,
35,04/05/2025 14:00,Brighton,Newcastle,,26944,False,,,,
35,04/05/2025 16:30,Chelsea,Liverpool,,26948,False,,,,
35,05/05/2025 20:00,Crystal Palace,Nottingham Forest,,26949,False,,,,
36,10/05/2025 12:30,Newcastle,Chelsea,,26957,False,,,,
36,10/05/2025 15:00,Fulham,Everton,,26953,False,,,,
36,10/05/2025 15:00,Ipswich,Brentford,,26954,False,,,,
36,10/05/2025 15:00,Man Utd,West Ham,,26956,False,,,,
36,10/05/2025 15:00,Southampton,Man City,,26959,False,,,,
36,10/05/2025 15:00,Spurs,Crystal Palace,,26960,False,,,,
36,10/05/2025 15:00,Wolves,Brighton,,26961,False,,,,
36,10/05/2025 17:30,Bournemouth,Aston Villa,,26955,False,,,,
36,11/05/2025 14:15,Nottingham Forest,Leicester,,26958,False,,,,
36,11/05/2025 16:30,Liverpool,Arsenal,,26952,False,,,,
37,18/05/2025 15:00,Arsenal,Newcastle,,26962,False,,,,
37,18/05/2025 15:00,Aston Villa,Spurs,,26963,False,,,,
37,18/05/2025 15:00,Brentford,Fulham,,26964,False,,,,
37,18/05/2025 15:00,Brighton,Liverpool,,26965,False,,,,
37,18/05/2025 15:00,Chelsea,Man Utd,,26966,False,,,,
37,18/05/2025 15:00,Crystal Palace,Wolves,,26967,False,,,,
37,18/05/2025 15:00,Everton,Southampton,,26968,False,,,,
37,18/05/2025 15:00,Leicester,Ipswich,,26969,False,,,,
37,18/05/2025 15:00,Man City,Bournemouth,,26970,False,,,,
37,18/05/2025 15:00,West Ham,Nottingham Forest,,26971,False,,,,
38,25/05/2025 16:00,Bournemouth,Leicester,,26979,False,,,,
38,25/05/2025 16:00,Fulham,Man City,,26981,False,,,,
38,25/05/2025 16:00,Ipswich,West Ham,,26980,False,,,,
38,25/05/2025 16:00,Liverpool,Crystal Palace,,26975,False,,,,
38,25/05/2025 16:00,Man Utd,Aston Villa,,26974,False,,,,
38,25/05/2025 16:00,Newcastle,Everton,,26973,False,,,,
38,25/05/2025 16:00,Nottingham Forest,Chelsea,,26972,False,,,,
38,25/05/2025 16:00,Southampton,Arsenal,,26977,False,,,,
38,25/05/2025 16:00,Spurs,Brighton,,26976,False,,,,
38,25/05/2025 16:00,Wolves,Brentford,,26978,False,,,,
